Brand;Year;Model;Car/Suv;Title;UsedOrNew;Transmission;Engine;DriveType;FuelType;FuelConsumption;Kilometres;ColourExtInt;Location;CylindersinEngine;BodyType;Doors;Seats;Price
Hyundai;2015;Tucson;SUV;2015 Hyundai Tucson Active (fwd);USED;Automatic;4 cyl, 2 L;Front;Unleaded;7.9 L / 100 km;66242;White / Black Cloth;Lilydale, VIC;4 cyl;SUV; 4 Doors; 5 Seats;25999
Nissan;2019;Navara;Ute / Tray;2019 Nissan Navara ST-X (4X4) (leather Trim);USED;Automatic;4 cyl, 2.3 L;4WD;Diesel;7 L / 100 km;49181;Grey / Black;Penrith, NSW;4 cyl;Ute / Tray; 4 Doors; 5 Seats;44987
Jeep;2015;Grand;SUV;2015 Jeep Grand Cherokee Blackhawk;USED;Automatic;6 cyl, 3.6 L;4WD;Premium;10.4 L / 100 km;52378;Red / -;Greenacre, NSW;6 cyl;SUV; 4 Doors; 5 Seats;37800
Audi;2013;R8;Coupe;2013 Audi R8 4.2 FSI Quattro;USED;Automatic;8 cyl, 4.2 L;AWD;Premium;13.3 L / 100 km;39200;Black / -;Sydney, NSW;8 cyl;Coupe; 2 Doors; 2 Seats;172300
Nissan;2013;X-Trail;SUV;2013 Nissan X-Trail ST (fwd);USED;Automatic;4 cyl, 2 L;Front;Unleaded;8.4 L / 100 km;119924;White / Grey;Southport, QLD;4 cyl;SUV; 4 Doors; 5 Seats;15999
Nissan;2001;Patrol;SUV;2001 Nissan Patrol ST (4X4);USED;Manual;4 cyl, 3 L;4WD;Diesel;0 L / 100 km;309774;White / -;Kogarah, NSW;4 cyl;SUV; 4 Doors; 7 Seats;16950
Audi;2016;Q3;SUV;2016 Audi Q3 2.0 Tfsi Sport Quattro (132KW);USED;Automatic;4 cyl, 2 L;AWD;Premium;6.7 L / 100 km;109666;Grey / -;Liverpool, NSW;4 cyl;SUV; 4 Doors; 5 Seats;22990
Nissan;2010;X-Trail;Kingz Motors;2010 Nissan X-Trail ST 2WD;USED;Automatic;-;Front;Unleaded;-;207194;White / -;Minchinbury, NSW;-;Wagon;;;10990
Hyundai;2019;Santa;SUV;2019 Hyundai Santa FE Highlander Crdi Satin AWD;USED;Automatic;4 cyl, 2.2 L;AWD;Diesel;7.5 L / 100 km;83438;Blue / -;Campbelltown, NSW;4 cyl;SUV; 4 Doors; 7 Seats;43990
Suzuki;2018;Swift;Hatchback;2018 Suzuki Swift GL Navigator;USED;Automatic;4 cyl, 1.2 L;Front;Unleaded;4.8 L / 100 km;95573;Silver / -;Liverpool, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;16887
Toyota;2009;Estima;Don Frost Car Sales;2009 Toyota Estima ACR50;USED;Automatic;-;Other;Unleaded;-;77547;Gold / -;Arundel, QLD;-;Wagon;;;18000
Mazda;2018;3;Sedan;2018 Mazda 3 Maxx Sport (5YR);USED;Automatic;4 cyl, 2 L;Front;Unleaded;5.7 L / 100 km;53343;- / -;Five Dock, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;24990
Mitsubishi;2016;Outlander;SUV;2016 Mitsubishi Outlander LS (4X2);USED;Automatic;4 cyl, 2 L;Front;Unleaded;6.6 L / 100 km;265211;Red / -;Blacktown, NSW;4 cyl;SUV; 4 Doors; 5 Seats;8990
Volkswagen;2019;Golf;Hatchback;2019 Volkswagen Golf GTI;USED;Automatic;4 cyl, 2 L;Front;Premium;6.7 L / 100 km;22132;White / -;Milperra, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;43880
Toyota;2021;GR;Hatchback;2021 Toyota GR Yaris GR;USED;Manual;3 cyl, 1.6 L;AWD;Premium;7.6 L / 100 km;13515;White / Black Leather;Berwick, VIC;3 cyl;Hatchback; 3 Doors; 4 Seats;52999
MG;2023;ZST;Alto Blacktown MG;2023 MG ZST Vibe;NEW;Automatic;4 cyl, 1.5 L;Front;-;6.9 L / 100 km;15;Blue / Black;Blacktown, NSW;4 cyl;SUV; 5 Doors; 5 Seats;29690
Volkswagen;2018;Golf;Wagon;2018 Volkswagen Golf 110 TSI Highline;USED;Automatic;4 cyl, 1.4 L;Front;Premium;5.6 L / 100 km;101393;Blue / Black;Kirrawee, NSW;4 cyl;Wagon; 4 Doors; 5 Seats;24315
Renault;2018;Koleos;SUV;2018 Renault Koleos Intens X-Tronic (4X4);USED;Automatic;4 cyl, 2.5 L;4WD;Premium;8.3 L / 100 km;104575;Blue / -;Blacktown, NSW;4 cyl;SUV; 4 Doors; 5 Seats;28990
Subaru;2017;Forester;SUV;2017 Subaru Forester 2.5I-S;USED;Automatic;4 cyl, 2.5 L;AWD;Unleaded;8.1 L / 100 km;45318;Blue / Leather;Liverpool, NSW;4 cyl;SUV; 4 Doors; 5 Seats;31990
Isuzu;2017;D-MAX;Ute / Tray;2017 Isuzu D-MAX SX (4X2);USED;Manual;4 cyl, 3 L;Rear;Diesel;7.4 L / 100 km;6532;White / Black;Pakenham, VIC;4 cyl;Ute / Tray; 4 Doors; 5 Seats;35888
LDV;2021;G10;Commercial;2021 LDV G10 Barn Door;USED;Automatic;4 cyl, 1.9 L;Rear;Diesel;8.6 L / 100 km;38308;White / -;Minchinbury, NSW;4 cyl;Commercial; 4 Doors; 2 Seats;29800
Nissan;2011;Dualis;SUV;2011 Nissan Dualis ST (4X2);USED;Manual;4 cyl, 2 L;Front;Unleaded;8.1 L / 100 km;184256;Silver / -;Camden, NSW;4 cyl;SUV; 4 Doors; 5 Seats;8995
Toyota;2009;Ractis;Prime Wheels.;2009 Toyota Ractis X;USED;Automatic;-;Other;-;-;24170;Grey / Beige;Pakenham, VIC;-;Hatchback;;;17995
Kia;2015;Cerato;Sedan;2015 Kia Cerato S;USED;Automatic;4 cyl, 1.8 L;Front;Unleaded;7.1 L / 100 km;88693;White / Grey;Smeaton Grange, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;16990
Volkswagen;2019;Caddy;Commercial;2019 Volkswagen Caddy SWB TSI220;USED;Automatic;4 cyl, 1.4 L;Front;Premium;6 L / 100 km;97327;White / Black;Liverpool, NSW;4 cyl;Commercial; 3 Doors; 2 Seats;32888
Toyota;2019;Land;Windsor Toyota Used;2019 Toyota Land Cruiser Prado;USED;Automatic;-;Other;-;-;32326;White / -;Windsor, NSW;-;Wagon;;;77990
Hyundai;2014;I30;Hatchback;2014 Hyundai I30 Trophy;USED;Manual;4 cyl, 1.8 L;Front;Unleaded;6.8 L / 100 km;149912;White / Grey;Southport, QLD;4 cyl;Hatchback; 5 Doors; 5 Seats;13999
Ford;2018;Mustang;Coupe;2018 Ford Mustang Fastback GT 5.0 V8;USED;Automatic;8 cyl, 5 L;Rear;Premium;12.7 L / 100 km;26634;Red / Black;Ryde, NSW;8 cyl;Coupe; 2 Doors; 4 Seats;62990
Volkswagen;2011;Touareg;SUV;2011 Volkswagen Touareg V6 FSI;USED;Automatic;6 cyl, 3.6 L;AWD;Premium;10.1 L / 100 km;78369;Grey / -;Kirrawee, NSW;6 cyl;SUV; 4 Doors; 5 Seats;25990
Toyota;2010;Tarago;Wagon;2010 Toyota Tarago GLI;USED;Automatic;4 cyl, 2.4 L;Front;Unleaded;9.5 L / 100 km;203585;Silver / -;Five Dock, NSW;4 cyl;Wagon; 4 Doors; 8 Seats;14950
Toyota;2010;Tarago;Wagon;2010 Toyota Tarago GLX;USED;Automatic;4 cyl, 2.4 L;Front;Unleaded;9.5 L / 100 km;269626;White / -;South Hurstville, NSW;4 cyl;Wagon; 4 Doors; 8 Seats;12990
Ford;2019;Escape;SUV;2019 Ford Escape ST-Line (awd);USED;Automatic;4 cyl, 2 L;AWD;Premium;8.6 L / 100 km;30553;White / Rapton;Epping, VIC;4 cyl;SUV; 4 Doors; 5 Seats;33705
Toyota;2017;Hilux;Ute / Tray;2017 Toyota Hilux SR (4X4);USED;Automatic;4 cyl, 2.8 L;4WD;Diesel;8.5 L / 100 km;111382;White / -;Granville, NSW;4 cyl;Ute / Tray; 4 Doors; 5 Seats;41950
Audi;2011;Q5;SUV;2011 Audi Q5 2.0 TDI Quattro;USED;Automatic;4 cyl, 2 L;AWD;Diesel;6.8 L / 100 km;148512;Black / -;Blacktown, NSW;4 cyl;SUV; 4 Doors; 5 Seats;16999
Hyundai;2016;Tucson;SUV;2016 Hyundai Tucson Elite (awd);USED;Automatic;4 cyl, 1.6 L;AWD;Unleaded;7.7 L / 100 km;53520;White / Leather;Liverpool, NSW;4 cyl;SUV; 4 Doors; 5 Seats;25990
Kia;2015;Carnival;Wagon;2015 Kia Carnival SI;USED;Automatic;4 cyl, 2.2 L;Front;Diesel;7.7 L / 100 km;100966;White / Grey;Revesby, NSW;4 cyl;Wagon; 4 Doors; 8 Seats;33990
Ford;2015;Falcon;Sedan;2015 Ford Falcon XR8;USED;Manual;8 cyl, 5 L;Rear;Unleaded;13.6 L / 100 km;57096;Blue / Black;Archerfield, QLD;8 cyl;Sedan; 4 Doors; 5 Seats;49980
Mitsubishi;2017;Lancer;Sedan;2017 Mitsubishi Lancer ES Sport;USED;Automatic;4 cyl, 2 L;Front;Unleaded;7.4 L / 100 km;131757;White / -;Saint Marys, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;16444
Hyundai;2018;Tucson;SUV;2018 Hyundai Tucson Highlander (awd) Beige;USED;Automatic;4 cyl, 1.6 L;AWD;Unleaded;7.7 L / 100 km;138172;Silver / Leather;Liverpool, NSW;4 cyl;SUV; 4 Doors; 5 Seats;28990
Toyota;2014;HiAce;Commercial;2014 Toyota HiAce LWB;USED;Automatic;4 cyl, 2.7 L;Rear;Unleaded;11.6 L / 100 km;140082;White / Grey;Lidcombe, NSW;4 cyl;Commercial; 4 Doors; 3 Seats;25995
Audi;2013;Q5;SUV;2013 Audi Q5 3.0 TDI Quattro;USED;Automatic;6 cyl, 3 L;AWD;Diesel;6.4 L / 100 km;124470;Grey / Black;Granville, NSW;6 cyl;SUV; 4 Doors; 5 Seats;21984
LDV;2021;G10;Commercial;2021 LDV G10 Barn Door;USED;Automatic;4 cyl, 1.9 L;Rear;Diesel;8.6 L / 100 km;36516;White / Black Cloth;Arncliffe, NSW;4 cyl;Commercial; 4 Doors; 2 Seats;29990
Toyota;2017;Corolla;"02 **** ****
";2017 Toyota Corolla Axio Hybrid;USED;-;-;Other;-;-;91667;White / -;Greenacre, NSW;-;;;;22990
Lexus;2009;IS250C;Convertible;2009 Lexus IS250C Sports Luxury;USED;Automatic;6 cyl, 2.5 L;Rear;Premium;9.3 L / 100 km;100500;Silver / Cream;Brookvale, NSW;6 cyl;Convertible; 2 Doors; 4 Seats;22999
Hyundai;2019;Ioniq;Hatchback;2019 Hyundai Ioniq Electric Premium (blk Grille);USED;Automatic;0 L;Front;Electric;0 L / 100 km;41067;Blue / Bc;Mornington, VIC;0 L;Hatchback; 4 Doors; 5 Seats;39990
BMW;2015;4;Sutherland Mazda Used Cars;2015 BMW 4 SERIES 420i Gran Coupe Luxury Line;USED;Automatic;-;Rear;Premium;-;92513;Grey / -;Kirrawee, NSW;-;Hatchback;;;32900
Kia;2018;RIO;Hatchback;2018 Kia RIO GT-Line;USED;Automatic;3 cyl, 1 L;Front;Unleaded;5.4 L / 100 km;90724;White / -;Five Dock, NSW;3 cyl;Hatchback; 5 Doors; 5 Seats;19999
Mazda;2009;2;Hatchback;2009 Mazda 2 NEO;USED;Automatic;4 cyl, 1.5 L;Front;Unleaded;6.8 L / 100 km;139289;Grey / Black;Cheltenham, VIC;4 cyl;Hatchback; 5 Doors; 5 Seats;11390
Mercedes-Benz;2010;C200;Sedan;2010 Mercedes-Benz C200 CGI;USED;Automatic;4 cyl, 1.8 L;Rear;Premium;7.7 L / 100 km;104900;Grey / -;Eastern Creek, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;15995
Mitsubishi;2014;Triton;Ute / Tray;2014 Mitsubishi Triton GLX (4X4);USED;Automatic;4 cyl, 2.5 L;4WD;Diesel;9.3 L / 100 km;253555;White / -;Minchinbury, NSW;4 cyl;Ute / Tray; 4 Doors; 5 Seats;18990
Toyota;2010;Estima;Japan Auto Trading;2010 Toyota Estima ACR50 AERAS-G;USED;Automatic;-;Front;Unleaded;-;120762;White / -;Burwood, NSW;-;Wagon;;;17990
Subaru;2012;WRX;Sedan;2012 Subaru WRX Premium (awd);USED;Manual;4 cyl, 2.5 L;AWD;Premium;10.4 L / 100 km;138199;White / -;Minchinbury, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;23995
MG;2023;ZST;Alto Blacktown MG;2023 MG ZST Excite;NEW;Automatic;3 cyl, 1.3 L;Front;-;7.3 L / 100 km;15;Silver / Knight Black;Blacktown, NSW;3 cyl;SUV; 5 Doors; 5 Seats;33690
Nissan;2015;Pulsar;Sedan;2015 Nissan Pulsar ST;USED;Automatic;4 cyl, 1.8 L;Front;Unleaded;6.7 L / 100 km;72927;Silver / Black;Granville, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;16984
Audi;2014;Q5;Vega Motors;2014 Audi Q5 2.0 TDI Quattro;USED;Automatic;-;Other;Diesel;-;123500;Grey / -;Springwood, QLD;-;Wagon;;;23990
Mazda;2015;CX-3;SUV;2015 Mazda CX-3 S Touring (awd);USED;Automatic;4 cyl, 1.5 L;AWD;Diesel;5.1 L / 100 km;158831;Red / -;Campbelltown, NSW;4 cyl;SUV; 4 Doors; 5 Seats;21950
Mercedes-Benz;2014;S-Class;USED Dealer ad;2014 Mercedes-Benz S-Class S400;USED;Automatic;-;Rear;-;-;67041;Silver / -;Laverton North, VIC;-;;;;69990
Kia;2019;Cerato;Hatchback;2019 Kia Cerato Sport NAV;USED;Automatic;4 cyl, 2 L;Front;Unleaded;7.4 L / 100 km;108541;White / -;Warwick Farm, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;22990
BMW;2016;430I;Coupe;2016 BMW 430I M Sport;USED;Automatic;4 cyl, 2 L;Rear;Premium;5.8 L / 100 km;31620;Grey / Red Leather;Brookvale, NSW;4 cyl;Coupe; 2 Doors; 4 Seats;45555
Ford;2016;Ranger;Ute / Tray;2016 Ford Ranger XLT 3.2 (4X4);USED;Manual;5 cyl, 3.2 L;4WD;Diesel;8.3 L / 100 km;88961;White / Grey;Richmond, NSW;5 cyl;Ute / Tray; 4 Doors; 5 Seats;38990
BMW;2012;116I;Hatchback;2012 BMW 116I;USED;Manual;4 cyl, 1.6 L;Rear;Premium;5.7 L / 100 km;133884;Blue / -;Kirrawee, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;14900
Mercedes-Benz;2019;GLC300;SUV;2019 Mercedes-Benz GLC300 4Matic;USED;Automatic;4 cyl, 2 L;AWD;Premium;8.1 L / 100 km;42159;White / Black;Smeaton Grange, NSW;4 cyl;SUV; 4 Doors; 5 Seats;68888
Toyota;2021;RAV4;SUV;2021 Toyota RAV4 Edge (awd);USED;Automatic;4 cyl, 2.5 L;AWD;Unleaded;7.5 L / 100 km;28785;Blue / -;Rozelle, NSW;4 cyl;SUV; 5 Doors; 5 Seats;54800
Toyota;2016;Yaris;Hatchback;2016 Toyota Yaris Ascent;USED;Automatic;4 cyl, 1.3 L;Front;Unleaded;6.3 L / 100 km;73318;White / -;South Hurstville, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;19990
Subaru;2017;XV;SUV;2017 Subaru XV 2.0I;USED;Automatic;4 cyl, 2 L;AWD;Unleaded;7 L / 100 km;82951;Silver / Black;Bentleigh, VIC;4 cyl;SUV; 4 Doors; 5 Seats;26790
Audi;2017;SQ7;SUV;2017 Audi SQ7 4.0 TDI V8 Quattro;USED;Automatic;8 cyl, 4 L;AWD;Diesel;7.2 L / 100 km;136530;Blue / Black;Blacktown, NSW;8 cyl;SUV; 4 Doors; 5 Seats;72880
Volkswagen;2015;Caddy;Commercial;2015 Volkswagen Caddy TSI160;USED;Manual;4 cyl, 1.2 L;Front;Premium;6.9 L / 100 km;204361;Silver / Black;Minchinbury, NSW;4 cyl;Commercial; 3 Doors; 2 Seats;14880
BMW;2016;M4;Coupe;2016 BMW M4;USED;Automatic;6 cyl, 3 L;Rear;Premium;8.3 L / 100 km;99978;Silver / Black;Carlton, NSW;6 cyl;Coupe; 2 Doors; 4 Seats;69888
Holden;2014;Cruze;Sedan;2014 Holden Cruze Z-Series;USED;Automatic;4 cyl, 1.8 L;Front;Unleaded;7.4 L / 100 km;65108;Grey / -;Minchinbury, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;12995
Lexus;2018;RX350;SUV;2018 Lexus RX350 Sports Luxury;USED;Automatic;6 cyl, 3.5 L;AWD;Premium;9.6 L / 100 km;136480;Gold / Cream;Carlton, NSW;6 cyl;SUV; 4 Doors; 5 Seats;47888
Nissan;2007;Patrol;SUV;2007 Nissan Patrol ST-L (4X4);USED;Automatic;4 cyl, 3 L;4WD;Diesel;10.9 L / 100 km;285146;Gold / -;Capalaba, QLD;4 cyl;SUV; 4 Doors; 7 Seats;24990
Nissan;2015;X-Trail;SUV;2015 Nissan X-Trail ST-L (4X4);USED;Automatic;4 cyl, 2.5 L;4WD;Unleaded;8.3 L / 100 km;117407;Grey / Black Leather;Elderslie, NSW;4 cyl;SUV; 4 Doors; 5 Seats;19999
Mazda;2016;BT-50;Ute / Tray;2016 Mazda BT-50 GT (4X4);USED;Automatic;5 cyl, 3.2 L;4WD;Diesel;9.2 L / 100 km;130067;- / -;Granville, NSW;5 cyl;Ute / Tray; 4 Doors; 5 Seats;36950
BMW;2023;X4;DEMO;2023 BMW X4 M Competition Coupe M Steptronic M xDrive;DEMO;Automatic;-;Other;Premium;-;1589;Black / Merino Leather;Bentleigh, VIC;-;Wagon;;;189990
Mitsubishi;2014;Lancer;Sedan;2014 Mitsubishi Lancer XLS;USED;Automatic;4 cyl, 2.4 L;Front;Unleaded;8.5 L / 100 km;151465;Black / -;Minchinbury, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;16990
Mitsubishi;2018;Eclipse;SUV;2018 Mitsubishi Eclipse Cross LS (2WD);USED;Automatic;4 cyl, 1.5 L;Front;Unleaded;7.3 L / 100 km;23363;White / Grey Cloth;Pennant Hills, NSW;4 cyl;SUV; 4 Doors; 5 Seats;29999
Toyota;2022;Land;Windsor Toyota Used;2022 Toyota Land Cruiser;USED;Manual;-;Other;-;-;4015;White / -;Windsor, NSW;-;Ute / Tray;;;101990
Mazda;2005;3;Sedan;2005 Mazda 3 NEO;USED;Automatic;4 cyl, 2 L;Front;Unleaded;8.9 L / 100 km;102673;Grey / -;Camden, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;8995
Toyota;2016;HiAce;National Vehicles;2016 Toyota HiAce DX DX;USED;Automatic;-;Other;Diesel;-;72000;White / -;Braeside, VIC;-;Commercial;;;31888
Ford;2011;Mondeo;Wagon;2011 Ford Mondeo LX;USED;Automatic;4 cyl, 2.3 L;Front;Unleaded;9.5 L / 100 km;130596;White / Black;Brookvale, NSW;4 cyl;Wagon; 4 Doors; 5 Seats;11990
Volkswagen;2013;Golf;Hatchback;2013 Volkswagen Golf 90 TSI;USED;Automatic;4 cyl, 1.4 L;Front;Premium;5.4 L / 100 km;108759;White / Grey;Richmond, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;15990
Toyota;2018;Corolla;USED Dealer ad;2018 Toyota Corolla Ascent S-CVT;USED;Automatic;-;Front;Unleaded;-;87108;Blue / Grey;Greenacre, NSW;-;;;;21800
Lexus;2021;RX350L;SUV;2021 Lexus RX350L Sports Luxury (awd);USED;Automatic;6 cyl, 3.5 L;AWD;Premium;10.2 L / 100 km;36809;White / -;Rozelle, NSW;6 cyl;SUV; 4 Doors; 7 Seats;89800
Holden;2011;Colorado;Ute / Tray;2011 Holden Colorado LX (4X2);USED;Automatic;6 cyl, 3.6 L;Rear;Unleaded;12.8 L / 100 km;227125;White / Grey;Rydalmere, NSW;6 cyl;Ute / Tray; 4 Doors; 5 Seats;14950
HSV;2004;Clubsport;Sedan;2004 HSV Clubsport R8;USED;Automatic;8 cyl, 5.7 L;Rear;Premium;16 L / 100 km;170275;Black / -;Capalaba, QLD;8 cyl;Sedan; 4 Doors; 5 Seats;39990
Toyota;2014;Hiace;Commercial;2014 Toyota Hiace LWB;USED;Automatic;4 cyl, 3 L;Rear;Diesel;8 L / 100 km;188166;Silver / Grey;Lidcombe, NSW;4 cyl;Commercial; 4 Doors; 2 Seats;23900
Mitsubishi;2012;Triton;Ute / Tray;2012 Mitsubishi Triton GLX-R (4X4);USED;Automatic;4 cyl, 2.5 L;4WD;Diesel;9.9 L / 100 km;221757;Silver / -;Auburn, NSW;4 cyl;Ute / Tray; 4 Doors; 5 Seats;16990
Mitsubishi;2018;ASX;SUV;2018 Mitsubishi ASX LS (2WD);USED;Automatic;4 cyl, 2 L;Front;Unleaded;7.6 L / 100 km;68037;White / Black;Brookvale, NSW;4 cyl;SUV; 4 Doors; 5 Seats;22999
Toyota;2007;Aurion;Sedan;2007 Toyota Aurion AT-X;USED;Automatic;6 cyl, 3.5 L;Front;Unleaded;9.9 L / 100 km;151117;Silver / -;Lansvale, NSW;6 cyl;Sedan; 4 Doors; 5 Seats;9949
Toyota;2011;Corolla;Hatchback;2011 Toyota Corolla Ascent;USED;Automatic;4 cyl, 1.8 L;Front;Unleaded;7.4 L / 100 km;160428;Silver / Grey;Croydon, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;13990
Mitsubishi;2015;Triton;Ute / Tray;2015 Mitsubishi Triton GL;USED;Manual;4 cyl, 2.5 L;Rear;Diesel;8 L / 100 km;137631;White / -;Liverpool, NSW;4 cyl;Ute / Tray; 2 Doors; 2 Seats;19990
Toyota;2021;Corolla;Hatchback;2021 Toyota Corolla ZR TWO Tone Option;USED;Automatic;4 cyl, 2 L;Front;Unleaded;6 L / 100 km;44220;White / Black;Smeaton Grange, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;35888
Hyundai;2018;Tucson;SUV;2018 Hyundai Tucson Active (fwd);USED;Automatic;4 cyl, 2 L;Front;Unleaded;7.9 L / 100 km;75056;White / -;Liverpool, NSW;4 cyl;SUV; 4 Doors; 5 Seats;25776
Toyota;2004;Hilux;Ute / Tray;2004 Toyota Hilux (4X4);USED;Manual;4 cyl, 3 L;4WD;Diesel;0 L / 100 km;415913;Red / -;Coopers Plains, QLD;4 cyl;Ute / Tray; 4 Doors; 5 Seats;16999
LDV;2020;T60;Ute / Tray;2020 LDV T60 Trailrider (4X4);USED;Automatic;4 cyl, 2.8 L;4WD;Diesel;9.6 L / 100 km;88350;Grey / -;Mcgraths Hill, NSW;4 cyl;Ute / Tray; 4 Doors; 5 Seats;33888
Hyundai;2020;Kona;SUV;2020 Hyundai Kona Active (fwd);USED;Automatic;4 cyl, 2 L;Front;Unleaded;7.2 L / 100 km;46341;White / Cloth;Liverpool, NSW;4 cyl;SUV; 4 Doors; 5 Seats;27990
Kia;2012;Cerato;Hatchback;2012 Kia Cerato SI;USED;Automatic;4 cyl, 2 L;Front;Unleaded;7.7 L / 100 km;145934;Silver / Grey;Blacktown, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;13999
Hyundai;2012;I30;Hatchback;2012 Hyundai I30 Elite;USED;Automatic;4 cyl, 1.8 L;Front;Unleaded;6.9 L / 100 km;119281;White / Grey;Castle Hill, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;15990
Nissan;2018;Qashqai;SUV;2018 Nissan Qashqai TI;USED;Automatic;4 cyl, 2 L;Front;Unleaded;6.9 L / 100 km;51344;White / -;Roseville, NSW;4 cyl;SUV; 4 Doors; 5 Seats;30990
Toyota;2021;Corolla;Hatchback;2021 Toyota Corolla Ascent Sport Hybrid;USED;Automatic;4 cyl, 1.8 L;Front;Hybrid;4.2 L / 100 km;37892;White / -;Arncliffe, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;34990
Hyundai;2015;Iload;Commercial;2015 Hyundai Iload;USED;Automatic;4 cyl, 2.5 L;Rear;Diesel;8.8 L / 100 km;222947;White / -;Minto, NSW;4 cyl;Commercial; 4 Doors; 3 Seats;21950
Nissan;2005;Elgrand;Nippon Motors;2005 Nissan Elgrand Highway Star;USED;Automatic;-;Rear;Unleaded;-;20631;Black / Black;Ingleburn, NSW;-;Wagon;;;19900
Mitsubishi;2013;Lancer;Sedan;2013 Mitsubishi Lancer Sport;USED;Manual;4 cyl, 2 L;Front;Unleaded;6.9 L / 100 km;291063;White / -;Minto, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;7950
Hyundai;2017;Tucson;Remy Car Company;2017 Hyundai Tucson Active X 2WD;USED;Automatic;-;Front;Unleaded;-;65128;Grey / Black Leather;Slacks Creek, QLD;-;Wagon;;;23990
Toyota;2005;Landcruiser;SUV;2005 Toyota Landcruiser Prado Grande (4X4);USED;Automatic;6 cyl, 4 L;4WD;Unleaded;13.2 L / 100 km;181169;Yellow / -;Waterloo, NSW;6 cyl;SUV; 4 Doors; 8 Seats;25888
Toyota;2023;Land;Windsor Toyota Used;2023 Toyota Land Cruiser;USED;Manual;-;Other;-;-;79;Grey / -;Windsor, NSW;-;Ute / Tray;;;121990
Volkswagen;2018;Transporter;Commercial;2018 Volkswagen Transporter TDI 340 SWB LOW;USED;Automatic;4 cyl, 2 L;Front;Diesel;8.2 L / 100 km;173010;White / Black;Penrith, NSW;4 cyl;Commercial; 2 Doors; 2 Seats;29987
Toyota;2002;Celica;Hatchback;2002 Toyota Celica SX;USED;Manual;4 cyl, 1.8 L;Front;Premium;9 L / 100 km;273640;Silver / Black;Penrith, NSW;4 cyl;Hatchback; 2 Doors; 4 Seats;6999
Toyota;2022;Hilux;Windsor Toyota Used;2022 Toyota Hilux;USED;Automatic;-;Other;-;-;5043;Black / -;Windsor, NSW;-;Ute / Tray;;;81888
Holden;2017;Barina;Hatchback;2017 Holden Barina LS;USED;Automatic;4 cyl, 1.6 L;Front;Premium;6.6 L / 100 km;71241;Red / Black;Revesby, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;14990
Subaru;2004;Forester;SUV;2004 Subaru Forester XT Luxury;USED;Automatic;4 cyl, 2.5 L;AWD;Premium;15.1 L / 100 km;284604;Silver / Black;Minchinbury, NSW;4 cyl;SUV; 4 Doors; 5 Seats;11880
Hyundai;2022;Tucson;SUV;2022 Hyundai Tucson Highlander (fwd);USED;Automatic;4 cyl, 2 L;Front;Unleaded;8.1 L / 100 km;1228;- / -;Blacktown, NSW;4 cyl;SUV; 4 Doors; 5 Seats;58990
Foton;2017;Tunland;Ute / Tray;2017 Foton Tunland (4X4);USED;Manual;4 cyl, 2.8 L;4WD;Diesel;8.7 L / 100 km;98801;Red / Grey;Archerfield, QLD;4 cyl;Ute / Tray; 4 Doors; 5 Seats;15990
Ford;2010;Fiesta;Hatchback;2010 Ford Fiesta LX;USED;Automatic;4 cyl, 1.6 L;Front;Unleaded;6.1 L / 100 km;173586;- / -;Minchinbury, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;8995
Hyundai;2014;I30;Hatchback;2014 Hyundai I30 Trophy;USED;Manual;4 cyl, 1.8 L;Front;Unleaded;6.8 L / 100 km;194510;Silver / Black Leather;Elderslie, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;10999
Mazda;2015;6;Sedan;2015 Mazda 6 GT Safety;USED;Automatic;4 cyl, 2.2 L;Front;Diesel;5.4 L / 100 km;65001;Blue / -;Ryde, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;23880
Nissan;2008;Elgrand;Nippon Motors;2008 Nissan Elgrand Highway Star;USED;Automatic;-;Rear;Unleaded;-;60712;Black / Black;Ingleburn, NSW;-;Wagon;;;23900
